Name,DistrictId
Sîngereii Noi,29
Slobozia-Chișcăreni,29
Slobozia-Măgura,29
Sloveanca,29
Țambula,29
Tăura Nouă,29
Tăura Veche,29
Țiplești,29
Țipletești,29
Trifănești,29
Valea lui Vlad,29
Valea Norocului,29
Vladimireuca,29
Vrănești,29
Șoldănești,30
Alcedar,30
Chipeșca,30
Climauții de Jos,30
Cobîlea,30
Cot,30
Cotiujenii Mari,30
Curătura,30
Cușelăuca,30
Cușmirca,30
Dobrușa,30
Fuzăuca,30
Găuzeni,30
Glinjeni,30
Lelina,30
Mihuleni,30
Odaia,30
Olișcani,30
Parcani,30
Pohoarna,30
Poiana,30
Răspopeni,30
Recești,30
Rogojeni,30
Salcia,30
Sămășcani,30
Șestaci,30
Șipca,30
Socola,30
Vadul-Rașcov,30
Zahorna,30
Soroca,31
Alexandru cel Bun,31
Bădiceni,31
Balinți,31
Balinții Noi,31
Băxani,31
Bulboci,31
Bulbocii Noi,31
Căinarii Vechi,31
Cerlina,31
Cosauți,31
Cremenciug,31
Cureșnița,31
Cureșnița Nouă,31
Dărcăuți,31
Dărcăuții Noi,31
Decebal,31
Dubna,31
Dumbrăveni,31
Egoreni,31
Floriceni,31
Grigorăuca,31
Holoșnița,31
Hristici,31
Iarova,31
Inundeni,31
Iorjnița,31
Livezi,31
Lugovoe,31
Mălcăuți,31
Nimereuca,31
Niorcani,31
Oclanda,31
Ocolina,31
Parcani,31
Pîrlița,31
Racovăț,31
Redi-Cereșnovăț,31
Regina Maria,31
Rublenița,31
Rublenița Noua,31
Rudi,31
Ruslanovca,31
Schineni,31
Schinenii Noi,31
Șeptelici,31
Slobozia Nouă,31
Slobozia-Cremene,31
Slobozia-Vărăncău,31
Sobari,31
Șolcani,31
Soloneț,31
Stoicani,31
Tătărăuca Nouă,31
Tătărăuca Veche,31
Țepilova,31
Tolocănești,31
Trifăuți,31
Vădeni,31
Valea,31
Vanțina,31
Vanțina Mică,31
Vărăncău,31
Vasilcău,31
Visoca,31
Voloave,31
Volovița,31
Zastînca,31
Ștefan Vodă,32
Alava,32
Antonești,32
Brezoaia,32
Căplani,32
Carahasani,32
Cioburciu,32
Copceac,32
Crocmaz,32
Ermoclia,32
Feștelița,32
Lazo,32
Marianca de Jos,32
Olănești,32
Palanca,32
Popeasca,32
Purcari,32
Răscăieți,32
Răscăieții Noi,32
Semionovca,32
Slobozia,32
Ștefănești,32
Talmaza,32
Tudora,32
Viișoara,32
Volintiri,32
Bucovăț,33
Strășeni,33
Căpriana,33
Chirianca,33
Ciobanca,33
Codreanca,33
Cojușna,33
Dolna,33
Drăgușeni,33
Făgureni,33
Gălești,33
Găleștii Noi,33
Ghelăuza,33
Gornoe,33
Greblești,33
Huzun,33
Lozova,33
Lupa-Recea,33
Mărtinești,33
Micăuți,33
Micleușeni,33
Negrești,33
Onești,33
Pănăsești,33
Rădeni,33
Rassvet,33
Recea,33
Romănești,33
Roșcani,33
Saca,33
Scoreni,33
Sireți,33
Stejăreni,33
Tătărești,33
Țigănești,33
Voinova,33
Vorniceni,33
Zamciogi,33
Zubrești,33
Taraclia,34
Albota de Jos,34
Albota de Sus,34
Aluatu,34
Balabanu,34
Budăi,34
Cairaclia,34
Cealîc,34
Chirilovca,34
Ciumai,34
Corten,34
Cortenul Nou,34
Dermengi,34
Hagichioi,34
Hîrtop,34
Mirnoe,34
Musaitu,34
Novosiolovca,34
Orehovca,34
Roșița,34
Salcia,34
Samurza,34
Sofievca,34
Tvardița,34
Valea Perjei,34
Vinogradovca,34
Telenești,35
Bănești,35
Băneștii Noi,35
Bogzești,35
Bondareuca,35
Brînzenii Noi,35
Brînzenii Vechi,35
Budăi,35
Căzănești,35
Chersac,35
Chiștelnița,35
Chițcanii Noi,35
Chițcanii Vechi,35
Ciofu,35
Cîșla,35
Ciulucani,35
Codru,35
Codrul Nou,35
Coropceni,35
Crăsnășeni,35
Cucioaia,35
Cucioaia Nouă,35
Dobrușa,35
Flutura,35
Ghermănești,35
Ghiliceni,35
Hirișeni,35
Hîrtop,35
Inești,35
Leușeni,35
Mihălașa,35
Mihălașa Nouă,35
Mîndra,35
Mîndrești,35
